inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Feb 17, 2021",PHP,Aggressive,"PHP 200,000,000.00",,PHP 50.00,"PHP 200,000,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",0.60% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (Y Unit Class),Equity Fund,96.719227,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=405&bank_id=31
"Jun 15, 2005",PHP,Balanced,"PHP 1,000.00",,"PHP 1,000.00",PHP 0.00,30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,0.50% of the Original Participation Amount,PSEi										,BDO INSTITUTIONAL EQUITY FUND,Equity Fund,4253.6563,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=127&bank_id=6
"Oct 18, 2013",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after the notice of redemption is received (T + 3),1.25% p.a.,1.00% of the Original Participation Amount,PSEi																		,BDO DIVIDEND FUND,Equity Fund,90.5249,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=197&bank_id=6
"May 3, 2005",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount,PSEi																,BDO EQUITY FUND,Equity Fund,364.1974,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=126&bank_id=6
"May 4, 2006",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T + 3 days,1.25% per annum based on the Net Asset Value (NAV),0.50% of amount redeemed,90-day yield of the Philippine Stock Exchange Index (PSEi) ,Equity Investment Trust Fund,Equity Fund,250.21,Asia United Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=159&bank_id=4
"Apr 8, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,11:30 AM,4,1.50% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,90% of the Philippine Stock Exchange Index (PSEi) and 10% of the one month yield based on the PHP BVAL														,DIVERSITY DIVIDEND FOCUSED FUND,Equity Fund,0.641849,Bank of Commerce,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=252&bank_id=5
"Dec 4, 2006",PHP,Aggressive,"PHP 25,000.00",,"PHP 10,000.00","PHP 25,000.00",30 calendar days,12:00 PM,T + 3,1.25% PA,1.00% of the Principal,		,AB CAPITAL EQUITY FUND,Equity Fund,2.741699,AB Capital Asset Management,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=185&bank_id=29
"Feb 17, 2021",PHP,Aggressive,PHP 50.00,,PHP 50.00,PHP 50.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",1.75% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (A Unit Class),Equity Fund,92.609762,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=404&bank_id=31
"Feb 1, 2007",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange Index (PSEi)								,ODYSSEY PHILIPPINE HIGH CONVICTION EQUITY FUND,Equity Fund,109.08,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=64&bank_id=3
"May 5, 2003",PHP,Aggressive,"PHP 10,000.00",,"PHP 5,000.00","PHP 10,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+2 (end of day),2.00% p.a.,None,Philippine Stock Exchange Index (PSEi)								,ODYSSEY PHILIPPINE EQUITY FUND,Equity Fund,376.14,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=63&bank_id=3
"Apr 4, 2005",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange index (PSEi)											,BPI EQUITY VALUE FUND,Equity Fund,136.86,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=53&bank_id=3
"Aug 16, 2013",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange index (PSEi)				,BPI PHILIPPINE HIGH DIVIDEND EQUITY FUND,Equity Fund,116.95,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=189&bank_id=3
"Feb 17, 2023",PHP,Aggressive,"PHP 1,000.00",,PHP 100.00,"PHP 1,000.00",0 calendar days,12:00 PM,T+3,0.3368%,0,100% Philippines Stock Exchange Index		,AIA Peso Equity Fund,Equity Fund,0.9519,AIA INVESTMENT MANAGEMENT AND TRUST CORPORATION PHILIPPINES,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=481&bank_id=42
"Jun 11, 2013",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+3,1.0% based on NAV before trust fee for the day,1.0% of redemption proceeds,95% Philippine Stock Exchange Index (PSEi) + 5% Bloomberg Phil Sovereign Bond Index Money Market (BPHILMM)�� ���												,CHINA BANK EQUITY FUND,Equity Fund,1.159807,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=188&bank_id=7
"Dec 11, 2015",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount ,PSEi 					,BDO ESG EQUITY FUND,Equity Fund,97.2362,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=266&bank_id=6
"Oct 18, 2013",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after the notice of redemption is received (T + 3),1.50% p.a.,1.00% of the Original Participation Amount,PSEi												,BDO FOCUSED EQUITY FUND,Equity Fund,76.9058,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=198&bank_id=6
"Apr 29, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return									,Manulife Global Thematic Opportunities Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,53.5313,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=443&bank_id=39
"Jan 20, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI World Information Technology Index												,Manulife Global Technology Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,49.228,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=437&bank_id=39
"May 23, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI World/Healthcare NR USD Index											,Manulife Global Healthcare Equity Feeder Fund (Php Unhedged Class I),Feeder Fund - Equity,56.9057,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=446&bank_id=39
"Jul 28, 2014",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI AC World Index, Net Dividends																	",ATRAM Global Equity Opportunity Feeder Fund (USD Unit Class),Feeder Fund - Equity,1.384888,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=232&bank_id=31
"Dec 15, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI AC World (Net) Total Return				,Manulife Global Thematic Opportunities Equity Feeder Fund (Php Unhedged Class I),Feeder Fund - Equity,59.0714,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=472&bank_id=39
"Sep 9, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return										,Manulife Global Clean Energy Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,52.6807,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=456&bank_id=39
"Jul 21, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,100% S&P Developed Property Index											,Manulife Global REIT Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,39.116,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=424&bank_id=39
"Aug 17, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI India 10/40 Index								,Manulife India Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,54.8352,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=427&bank_id=39
"Nov 8, 2019",USD,Aggressive,"USD 1,000,000.00",,"USD 1,000.00","USD 1,000,000.00",30 calendar days,02:30 PM,T + 7 business days,0.6875%,0.50% based on redemption amount,JP Morgan Asia Credit Index Non-Investment Grade			,PRUInvest USD High Yield Asian Bond Feeder Fund (Class I),Feeder Fund - Fixed Income,0.5774,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=380&bank_id=41
"Feb 1, 2023",USD,Moderate,USD 500.00,,USD 100.00,USD 500.00,7 calendar days,12:00 PM,T + 1,0.35% per annum,0.25% of the redemption proceeds,30-day USD deposit rate						,Rbank Dollar Short Term Feeder Fund,Feeder Fund - Fixed Income,101.385491,Robinsons Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=476&bank_id=34
"Apr 30, 2019",PHP,Moderately Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"25% MSCI World Index, Net Dividends, USD Hedged, 15% MSCI Emerging Markets, Net Dividends, 40% Bloomberg US Corporate High Yield 2% Issuer Capped Bond Total and 20% Bloomberg EM Hard Currency Aggregate Index								",ATRAM Global Multi,Feeder Fund - Multi-Asset,90.142301,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=360&bank_id=31
"Nov 8, 2019",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",30 calendar days,02:30 PM,T + 7 business days,1.375%,0.50% based on redemption amount,JP Morgan Asia Credit Index Non-Investment Grade,PRUInvest USD High Yield Asian Bond Feeder Fund (Class A),Feeder Fund - Fixed Income,0.537,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=378&bank_id=41
"Feb 14, 2018",USD,Aggressive,USD 500.00,,USD 100.00,USD 500.00,7 calendar days,12:00 PM,T + 4,0.50% p.a. based on Net Asset Value (NAV),50% of income on redeemed amount ,Markit iBoxx USD Liquid Investment Grade Index (IBOXIG Index)													,Metro$ US Investment Grade Corporate Bond Feeder Fund,Feeder Fund - Fixed Income,0.93599,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=325&bank_id=1
"Jul 27, 2018",USD,Moderate,"USD 1,000.00",,USD 200.00,"USD 1,000.00",0 banking days,11:30 AM,T+4,0.50% p.a.,Not Applicable,98% Bloomberg	Barclays EM USD Sovereign; Philippines Total Return Index Unhedged USD + 2% 30-Day US Dollar Deposit Savings Rate,Maybank Tiger Dollar Bond Feeder Fund,Feeder Fund - Fixed Income,0.894736,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=343&bank_id=40
"May 16, 2022",USD,Moderate,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,11:30 AM,T+7,None,None,JP Morgan Asia Credit Index		,Maybank Tiger USD Asian Income Feeder Fund,Feeder Fund - Fixed Income,0.9319,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=445&bank_id=40
"Dec 16, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.00% as a % p.a. of the NAV,N/A,JACI Investment Grade 1-3 Years Index					,Manulife Asia Short Duration Bond Feeder Fund (USD Class A),Feeder Fund - Fixed Income,0.9955,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=468&bank_id=39
"Mar 28, 2005",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",0 calendar days,11:00 AM,T+1,0.50% based on NAV,None,BPI Philippine Government Bond Index																			,RCBC PESO FIXED INCOME FUND,Fixed Income Fund - Long Term,2.203498,Rizal Commercial Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=78&bank_id=11
"Jul 1, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 5,000.00","PHP 5,000.00",0 calendar days,01:30 PM,T+2,1.00% p.a.,N/A,90% Markit iBoxx ALBI Philippines  (Domestic) + 10% O/N Special Savings Account Rate (net of Withholding Tax)								,SB PESO BOND FUND,Fixed Income Fund - Long Term,2.050469,Security Bank Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=82&bank_id=12
"May 17, 2021",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+1,1%,25% of net earnings (P500 minimum) ,"Percentage change in the Bloomberg Government Bond
Index AI (All in) or, in its absence, any relevant and
industry-accepted benchmark
								",LANDBANK PERA Bond Fund,Fixed Income Fund - Long Term,1.071059,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=419&bank_id=9
"Mar 13, 2006",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T + 1,1.00%,25% of net earnings (P500 minimum),"Percentage change in the Bloomberg Government Bond Index AI*  (All in) or, in its absence, any relevant and industry-accepted benchmark

*Priced using PDEx�s (Philippine Dealing Exchange Corporation) PDSS-R2
															",LANDBANK Bond Fund,Fixed Income Fund - Long Term,1.866358,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=97&bank_id=9
"Sep 22, 2017",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 calendar days,12:00 PM,T + 3,0.50% Based on Net Asset Value (NAV),50% of income on redeemed amount,"60% Markit iBoxx ALBI Philippines 1-5, and 40% BPI Philippine Corporate Bond Index

												",Metro Unit Paying Fund,Fixed Income Fund - Long Term,0.952703,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=307&bank_id=1
"Mar 1, 2007",PHP,Aggressive,"PHP 50,000.00",,"PHP 1,000.00","PHP 50,000.00",180 calendar days,12:00 PM,T+1,1.0% p.a. of the market value of the fund,"PHP 500.00 or 0.25% of the withdrawn amount, whichever is higher","Bloomberg Philippine Sovereign Bond Index AI, Adjusted.			",EastWest Peso Long Term Bond Fund,Fixed Income Fund - Long Term,1579.3337,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=176&bank_id=8
"Apr 21, 2006",PHP,Moderately Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+1 (end of day),0.080% p.a. (Trust Fee payable to HSBC)/ 0.186% p.a. (Management Fee payable to BPI Wealth),None,iBoxx ABF Philippines Index																																																							,ABF PHILIPPINES BOND INDEX FUND,Fixed Income Fund - Long Term,254.41,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=51&bank_id=3
"Mar 10, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,11:30 AM,1,1% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,5-year yield based on PHP BVAL						,DIVERSITY PESO BOND FUND,Fixed Income Fund - Long Term,1.649954,Bank of Commerce,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=46&bank_id=5
"Mar 24, 2006",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T + 1,0.75% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,Bloomberg Philippine Sovereign Bond Index 5+ Year (BPHIL5).  															,CHINA BANK FIXED INCOME FUND (formerly CBC GS FUND),Fixed Income Fund - Long Term,1.832061,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=142&bank_id=7
"Sep 18, 2017",PHP,Moderate,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,0.75% as a % p.a. of the NAV,N/A,"50% Bloomberg Philippine Sovereign Bond Index
1 to 3 Year + 50% 91-day T-Bill rate.																								",Manulife Stable Income Fund (Class A),Fixed Income Fund - Intermediate Term,1.1415,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=311&bank_id=39
"Mar 1, 2016",PHP,Moderate,"PHP 2,000.00","Class I - PHP 10,000 (via any PNB Branch) Class II - PHP 2,000 (via PNB UITF Online)","PHP 2,000.00","PHP 2,000.00",30 calendar days,12:00 PM,T+1,0.75% p.a. of fund value,"50% of income earned, if any","Markit iBoxx ALBI Philippines 1-3

																												",PNB PROFIT PESO BOND FUND (Formerly PNB Peso Intermediate Term Bond Fund),Fixed Income Fund - Intermediate Term,1.588248,Philippine National Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=178&bank_id=2
"Sep 18, 2017",PHP,Moderate,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,N/A,N/A,50% Bloomberg Philippine Sovereign Bond Index 1 to 3 Year + 50% 91-day T-Bill rate. 				,Manulife Stable Income Fund (Class I),Fixed Income Fund - Intermediate Term,1.2172,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=312&bank_id=39
"Feb 18, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T+1,1% p.a. of the market value of the fund,"PHP 500.00 or 0.25% of the withdrawn amount, whichever is higher","Bloomberg Philippine Sovereign Bond Index 1-3 Year, Adjusted.",EastWest Peso Intermediate Term Bond Fund,Fixed Income Fund - Intermediate Term,2165.9883,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=175&bank_id=8
